4.52308	1.84575
4.56923	2.36769
4.61538	2.88963
4.66154	3.41157
4.70769	3.93351
4.75385	4.45545
4.98462	4.66515
5.26154	4.30114
5.35385	3.83197
5.53846	4.09365
5.67692	4.30294
5.81538	3.83398
5.90769	3.31264
6	2.7913
6.09231	2.26997
6.18462	1.8008
6.27692	1.27946
6.41538	0.914849
6.55385	1.43719
6.69231	1.95953
6.96923	2.16943
7.2	2.64
7.52308	2.79793
7.89231	3.00823
8.16923	2.64421
8.53846	2.33278
8.90769	2.07351
9.23077	1.81405
9.55385	1.9198
9.92308	1.66054
10.1538	1.24415
10.4769	0.880334
10.8462	0.673244
11.1231	0.309231
11.4	0.51913
11.7692	0.520736
