#x,Curve1,Curve2
715.512,0.115698,0.389614
716.832,0.114513,0.392826
720.132,0.111551,0.40353
722.772,0.108706,0.411023
724.092,0.107284,0.413701
725.413,0.105148,0.416378
725.413,0.105148,0.416378
726.733,0.105686,0.434563
727.393,0.105956,0.46879
728.053,0.106225,0.47307
728.053,0.106225,0.47307
729.373,0.106534,0.483768
730.033,0.106688,0.509439
730.033,0.106688,0.509439
730.693,0.106843,0.522275
732.673,0.107307,0.541531
732.673,0.107307,0.541531
733.333,0.107461,0.57148
