#x	3.6	-e	+e
9.98486	0.280723	0.162922	0.398723
10.0421	0.282547	0.159607	0.400763
10.0607	0.283139	0.162338	0.401425
10.1198	0.288761	0.171017	0.403529
10.1789	0.294383	0.179695	0.405633
10.2279	0.298386	0.186902	0.40738
10.231	0.298639	0.186961	0.40749
10.2379	0.299202	0.187093	0.407754
10.3122	0.299918	0.188516	0.41059
10.3153	0.299948	0.188378	0.410709
10.3222	0.300014	0.188075	0.411363
10.4065	0.300826	0.184358	0.419385
10.4823	0.30244	0.181012	0.426605
10.56	0.303188	0.177586	0.434
10.5666	0.303252	0.177295	0.433889
10.6508	0.30246	0.173579	0.432476
10.7267	0.300864	0.170235	0.431204
10.7838	0.299783	0.167716	0.430246
10.8109	0.29927	0.164741	0.429791
10.8782	0.295267	0.157354	0.428661
10.9456	0.290462	0.149969	0.427531
11.0129	0.285657	0.142583	0.426401
11.0803	0.281655	0.135197	0.425272
11.0823	0.281463	0.134976	0.425238
11.1476	0.275245	0.127814	0.420133
11.2065	0.269637	0.121354	0.415529
11.257	0.264028	0.115818	0.411584
11.3159	0.25842	0.109358	0.406979
11.318	0.258247	0.109129	0.406816
11.339	0.256493	0.106819	0.407982
11.3832	0.252813	0.0981916	0.410428
11.4506	0.248008	0.0850416	0.414155
11.5095	0.243203	0.0735371	0.417416
11.5768	0.238398	0.0603872	0.421144
11.5794	0.238153	0.0598857	0.421286
11.6357	0.23279	0.0488849	0.419951
11.6946	0.227182	0.0373825	0.418556
11.7535	0.221574	0.0258802	0.41716
11.8125	0.215966	0.0143779	0.415765
11.8153	0.215699	0.0138301	0.415699
11.8714	0.210358	0.00287555	0.418225
11.8769	0.209759	0.00180208	0.418473
11.9302	0.203947	-0.00862458	0.420878
11.9892	0.198339	-0.0201269	0.423531
12.0396	0.191928	-0.0299817	0.425805
12.0985	0.18632	-0.041484	0.428458
12.1188	0.18525	-0.0454413	0.429371
12.1743	0.182318	-0.0562815	0.440462
12.2501	0.179119	-0.0710812	0.455605
12.3259	0.175919	-0.0858809	0.470748
12.3933	0.176729	-0.0990462	0.484218
12.4608	0.18155	-0.112223	0.4977
12.5283	0.186371	-0.125399	0.511181
12.6089	0.192131	-0.141142	0.52729
